rank,store_id,store_name,website,status,primary_category
127,city_kirkuk_ChIJVZ5xZwDXVBURKixL2SNgZ0w,U smart,https://usmart-iot.com/,indexable,Smart Devices
128,city_karbala_ChIJbUHUAF1pWRURK299KqGPde4,VLAN Store - فيلان ستور,http://www.vlan.store/,indexable,Electronics
129,city_baghdad_ChIJWXawoe1_VxURErLycQhQr1w,VOLT Smart Home And Security 1,http://volt-smart.com/,indexable,Smart Devices
130,city_sulaymaniyah_ChIJz__W6k4tAEARwU2J3Ry9Ivg,Vida Smart Home,https://www.vidasmarthome.net/,indexable,Smart Devices
131,city_sulaymaniyah_ChIJURZiXQAvAEAR_vrbRaKVajU,Volta Game Center,http://voltacenter.net/,indexable,Gaming
132,city_erbil_ChIJMz1Sig8ZB0ARukVAv0GGY1g,Wasil | واصل,http://www.wasil-iq.com/,indexable,Chargers
133,city_sulaymaniyah_ChIJd-HfUwAvAEARk8fLLWCfaKM,Wise Tech Company,https://www.wisetechnology.co/,indexable,Electronics
134,city_sulaymaniyah_ChIJjdsQDlItAEARUIG0_PVl5lE,iNexusNet System Integrator,http://nexusnet.co/,indexable,Electronics
135,city_erbil_ChIJgUGXO3wjB0ARBnyQu8QmfQA,joni soft,http://www.kurdishfirmware.com/,indexable,Phones
136,city_baghdad_ChIJeeF563x_VxUR5WbqXVvoR4A,smart station company,http://www.smartstation-iq.com/,indexable,Smart Devices
137,city_baghdad_ChIJKSyHv4KDVxURR_5Gj8nQgHY,اتقان سمارت هوم - siemens,http://www.eknx-iq.com/,indexable,Smart Devices
138,city_baqubah_ChIJxbDF3xJLVhURz7ZeE-P54ec,احمد عشتار (AHMED ISHTAR ),http://www.ishtarcenter.com/,indexable,Gaming
139,city_basra_ChIJGYa8tNGXxD8R3Lv_fIjAVho,الكلية التقنية الهندسية في البصرة,http://www.stu.edu.iq/,indexable,Electronics
140,city_mosul_ChIJl93Y4KrrB0ARY1AU85SINrQ,اللؤلؤة لمواد الفنون اليدوية,https://pearl.iqmenus.com/,indexable,Chargers
141,city_karbala_ChIJzdK-VutrWRURUr3vx7BDSbQ,المخيم الحسيني.,http://imamhussain.org/news/14278,indexable,Phones
142,city_erbil_ChIJTd2JjP4iB0ART_dd2sOOU2w,المركز الامريكي للعيون,http://www.bahranimc.com/,indexable,Phones
143,city_basra_ChIJG54C27aZxD8R8kfmwOn3Yco,المستقبل فون,https://future-phone.store/,indexable,Phones
144,city_najaf_ChIJ2eRCtjfXXhURmS988OmD3jE,الودق لتقنيات المعلومات,http://www.ishraqalwadaq.com/,indexable,Electronics
145,city_baghdad_ChIJxcTQWcWDVxURAmIZ6xMqvIo,انور ابل زيونة شارع الربيعي,https://anwar-apple.com/,indexable,Phones
146,city_kirkuk_ChIJG9A3fXvXVBURTKGHVL88hmw,ايفون كركوك,https://ikik-iq.web.app/,indexable,Phones
147,city_najaf_ChIJR2CpegDXXhUR8Z3GxdSKnew,حسين الالعاب الإلكترونية,https://husseingamng.github.io/P/,indexable,Gaming
148,city_nasiriyah_ChIJXVbJHjrj3T8RSgVEGPxPDDg,ساموراي كيمز,http://saigs.xyz/,indexable,Electronics
149,city_erbil_ChIJw7mwJLcjB0ARAXHce3K2yfU,سان سيفر,http://www.sansevar.com/,indexable,Networking
150,city_erbil_ChIJowRd0IUhB0ARw6g1dkUDVyI,سبيستون,http://www.spacetoon-irq.com/,indexable,Gaming
151,city_baghdad_ChIJYfodk2KBVxURejI7ZASob9E,شركة أنس لتجارة إكسسوارات الحاسب و الموبايل ANAS,https://www.anas-iq.com/,indexable,Phones
152,city_baghdad_ChIJgeD8vCOBVxURmKV7m-HLGs8,شركة اصالة الكواز ASALET AL-KAWAZ CO.LTD,http://www.asaletalkawaz.iq/,indexable,Smart Devices
153,city_mosul_ChIJA2Jx58LrB0ARVwKBf316M6A,شركة افق الموصل,http://www.almjmuaah.com/,indexable,Electronics
154,city_karbala_ChIJ22xcqt5rWRURDHy-d9-0hv4,شركة الاماني,http://www.alamani.iq/,indexable,Phones
155,city_baghdad_ChIJl1EGTAB_VxURnH-4VtQ00So,شركة البدائل الذكية,http://dizzha.com/,indexable,Networking
156,city_baghdad_ChIJidcJ0T-BVxURSWiiq8DvB9I,شركة البلسان التجارية,https://www.al-balsan.com/,indexable,Electronics
157,city_kirkuk_ChIJgXT8YLnXVBURpL95vbBpQr4,شركة التكنولوجيا التاسعة 9tech,http://ninetech.co/,indexable,Electronics
158,city_baghdad_ChIJGSAuYQCBVxURU6ZMyvl8ZLM,شركة الحلول الرقمية,http://digital-solutions.iq/,indexable,Cameras
159,city_baghdad_ChIJ8_prXuZ9VxURndKVo8GvIjU,شركة الخطوات الرقمية,https://www.ds.com.iq/,indexable,Smart Devices
160,city_basra_ChIJQ1SE0v6ZxD8RKBF-2val0pA,شركة الصرد للتجارة العامة المحدودة Al Sard Company for General Trading Ltd.,http://www.sardco.com/,indexable,Chargers
161,city_najaf_ChIJDTSzZ3zRXhUR68loKzi6p5Y,شركة العربي لتجارة الحاسبات,http://arabiiq.com/,indexable,Electronics
162,city_baghdad_ChIJ6QrBYgp-VxURqG6Gy86nzXE,شركة الغصن الدالي ( الدولي سابقا),http://dawlygroup.com/,indexable,Cameras
163,city_baghdad_ChIJvx7_JrWDVxURYKoBgXo_r5M,شركة اياد لتجارة مستلزمات التصوير الاحترافي,https://ayad-company.com/,indexable,Cameras
164,city_najaf_ChIJGZ7wKS7XXhURW5enabJ4V1M,شركة باقر للتكنولوجيا الحديثة,http://www.mf.com.iq/,indexable,Tablets
165,city_karbala_ChIJk8M4rippWRURJY7Bl6qLsRw,شركة تِل بغداد Tel Baghdad,https://telbaghdad.com/,indexable,Phones
166,city_karbala_ChIJL3UuEc5rWRURfFmlTZSqEao,شركة حاسبات العربي للتجارة العامة,http://www.alarabi.iq/,indexable,Electronics
167,city_baghdad_ChIJc9uXJe2BVxUROqQTwrSXUOw,شركة دار الناشر للحاسبات,http://www.alnashir.net/,indexable,Networking
168,city_erbil_ChIJT8_74r4jB0ARbqx6CCh596I,شركة دلتانت لخدمات الانترنت فايبر اوبتك,http://www.deltacomms.net/,indexable,Networking
169,city_baghdad_ChIJ3cVn1rh_VxURwnUQMsxGb44,شركة سمارت كنترول,https://smartcontrols-iq.com/,indexable,Smart Devices
170,city_basra_ChIJs-QRHnqXxD8RWmD0O5AC9mo,شركة عبر الشرق للالكترونيات,http://www.as-elect.com/,indexable,Electronics
