rank,store_id,store_name,website,status,area,primary_category,products
84,city_erbil_ChIJ4fb6dMQjB0ARJmSCZoTbEkk,City Tech Solutions,http://citytech-solutions.com/,indexable,,Smart Devices,0
85,city_sulaymaniyah_ChIJM-Elqc8tAEARjJo0XU3laGQ,Click IT,https://www.click2011.com/,indexable,,Electronics,0
86,city_sulaymaniyah_ChIJmTzHp90vAEAR2p4loEgTNe0,Dasy2,http://www.dasy2.com/,indexable,,Phones,0
87,city_sulaymaniyah_ChIJr04nmfsvAEARBLlIX8jNsrw,Day of Science,http://www.dayofscience.com/,indexable,,Smart Devices,0
88,city_basra_ChIJfS9XBFGXxD8RZCJE5soCZuE,Electronic Gaming Center,https://foxgame.company.site/%D8%B3%D8%A7%D9%8A%D8%AF-%D8%A8%D8%B1%D9%8A%D9%83-%D9%84%D9%88%D8%AC%D8%AA%D9%83-p189398536,indexable,,Electronics,0
89,city_erbil_ChIJ99Bh3tkjB0ARaRpLmvwPF3U,Empire Phone,https://empire-phone.com/,indexable,,Phones,0
90,city_sulaymaniyah_ChIJdQ2FBIEuAEARmSRL0nOIP10,Faruk Investment Group Ltd,http://www.farukholding.com/,indexable,,Chargers,0
91,city_basra_ChIJ2V12DSeZxD8RmO0-_jrv0L0,Future Technologies تقنيات المستقبل,http://futuretechiq.net/,indexable,,Phones,0
92,city_erbil_ChIJB255OQAjB0ARe7lWF3FoL84,Gaming Pro,https://gaming-pro.store/,indexable,,Electronics,0
93,city_kirkuk_ChIJlVvSaf7XVBURJxA8436ZIG4,Golden Byte Center,http://goldenbytecenter.com/,indexable,,Electronics,0
94,city_erbil_ChIJHasd2pAjB0ARw57IWxvjE70,Golden Technology - التكنولوجيا الذهبية,https://gtiraq.com/,indexable,,Networking,0
95,city_basra_ChIJyRm3QDeXxD8RrgcObC9c4yU,HIKVISION Authorized Service Station مركز صيانة المعتمد في العراق,http://ard-albasra.com/,indexable,,Networking,0
96,city_erbil_ChIJ-y7i4j8hB0ARQlduTn3vUi0,Hama store,https://www.hama-store.com/,indexable,,Phones,0
97,city_najaf_ChIJvR1pdtPXXhURd_rdpm28rs0,Hattra Smart Home | هترا المنزل الذكي,https://www.hattra.ir/,indexable,,Smart Devices,0
98,city_erbil_ChIJP8wvjuUjB0ARdWQB1QDii3M,Hawler Camera company ( SHC ),http://www.hawler-camera.com/,indexable,,Cameras,0
99,city_sulaymaniyah_ChIJYwE_NCgvAEAR0AFXW6AEIzk,High Smart,http://hi-smart.co/,indexable,,Electronics,0
100,city_sulaymaniyah_ChIJUb1p_YktAEARhrdipKzZtlw,Hiwa Gaming,http://coderaran5.wixsite.com/hiwa-gaming/,indexable,,Electronics,0
101,city_erbil_ChIJr_4j3FQiB0ARDGLOTaj8X6o,ISTAR ERBIL,https://get.stbsoft.com/,indexable,,Electronics,0
102,city_erbil_ChIJv-y9TXghB0ARHQuzyp-0_bI,ITLOBBY,http://www.itlobby.co/,indexable,,Electronics,0
103,city_baghdad_ChIJp2sPd_h-VxURRkxrUXJljU4,Iraqi Games Center,https://adwaa-ard-almarh.com/,indexable,,Electronics,0
104,city_sulaymaniyah_ChIJ9TEHz2ktAEARGKu4F6ANUKY,Jihany Program Computer,http://www.jihanyprogram.com/,indexable,,Electronics,0
105,city_erbil_ChIJw8l85QkjB0ARbhzrU4P85PM,KC GAMING,https://kurdistancommunity.com/,indexable,,Gaming,0
106,manual_korektel,Korek Tel,https://korektel.com/,indexable,,Phones,0
107,city_erbil_ChIJG349U2YjB0ARK1Pw_WvliFU,LG Service center (Khoshnaw /Erbil) مركز صيانه ال جي (خوشناو /اربيل),http://www.lg-svc.com/,indexable,,Electronics,0
108,city_erbil_ChIJzyUrIQAjB0ARln1g8dFQKes,La Miami,https://lamiamierbil.com/,indexable,,Gaming,0
109,city_erbil_ChIJbbqj_PMjB0AR81mGyEtMitI,M-Store,http://ms-iq.co/,indexable,,Electronics,0
110,city_baghdad_ChIJCZEDFeODVxURugoL-xp5M34,Master Group,http://www.masteriraq.com/,indexable,,Smart Devices,0
111,city_baghdad_ChIJZXbvfUaBVxUR9CSoMOcniUc,Mizzo shopping,https://mizzostore.com/,indexable,,Electronics,0
112,city_erbil_ChIJCVPGK1AjB0ARBltY7LeLv-c,Nabaa Dar Alsalam - نبع دار السلام,http://nds-erbil.epizy.com/,indexable,,Electronics,0
113,city_erbil_ChIJP_mAiVkhB0ARZkUhSpqEHgc,Nizar4Game,https://nzarstore.com/,indexable,,Gaming,0
114,city_erbil_ChIJz5GYjXIjB0ARWgbpXNhhPrk,One Center,http://www.onestoreiraq.com/,indexable,,Accessories,0
115,city_baghdad_ChIJr_-fzNWBVxUR3EhLK-UpsPU,PC MART STORE مكتب,http://pcmart.store/,indexable,,Electronics,0
