reviewBucket,name,website,status,blockedReason,connector,products,offers,city,cityAr,area,lastSync,id
pending,شركة سمارت نت,http://smartco.network/,probe_pending,,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJgfqQrNZ9VxUROB5T0sKi-Do
pending,شركة عيناي لتجارة قطع غيار الهواتف النقاله وصيانتها,http://www.aynay.com.iq/,probe_pending,,,0,0,Kirkuk,كركوك,,,city_kirkuk_ChIJCXrfUxDWVBURmpfg6mL5lLQ
pending,شركة فرياد,http://www.pfryad.weebly.com/,probe_pending,,,0,0,Sulaymaniyah,السليمانية,,,city_sulaymaniyah_ChIJYRr6xIIuAEARw3TjFsA4M-Q
pending,شركة نسائم البرکات,https://www.nasaemalbarakat.com/,probe_pending,,,0,0,Sulaymaniyah,السليمانية,,,city_sulaymaniyah_ChIJB8VKm5otAEARFQ6DU30ZE6o
pending,شركة هوا لهواتف نقالة,https://www.hawa.com.iq/,probe_pending,,,0,0,Kirkuk,كركوك,,,city_kirkuk_ChIJP5_itzLXVBURlu_Z2hXRkLk
pending,صيانة شركة جبال - الناصرية,http://jibalzone.com/,probe_pending,,,0,0,Nasiriyah,الناصرية,,,city_nasiriyah_ChIJm255M37j3T8RebWH5_e9y4U
pending,طيف السحابة,http://cloud_tech.net/,probe_pending,,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJw8dd05eDVxURCikryd02TqU
pending,عالم ابل للهواتف والاكسسوارات,https://app.gini.iq/deeplink/appleworld,probe_pending,,,0,0,Najaf,النجف,,,city_najaf_ChIJeZko5dTXXhURQOF6W8N5VUU
pending,عالم الكارتات والبطاقات الالكترونية,https://aaalm-altswq.vatrin.app/,probe_pending,,,0,0,Kirkuk,كركوك,,,city_kirkuk_ChIJc5dFbNYpVRURI0RNNn5fg08
pending,عين الفهد,http://www.aynalfahad.com/,probe_pending,,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJ9cgcrgp-VxURgh0twaGgHNU
pending,قەڵای هەولێر,https://www.hawlergov.org/app/en/node/539,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJf7JSRFQiB0ARrIie9e0A4bk
